matternumber,mattername,invoiceid,firmname,fees,invstatus,datepaid,receivedate,begperiod,endgperiod,invdate,itemnumber,itemdate,fullname,taskcode,task,rate,hours,netamount,description,state,itemtype,disbcode,tklevel,mattertype,mattersubtype,attorney,status,opendate,closedate,trialdate,team_lead,judge,courttype,trial,plaintiff,county,disposition,dispdate,case_length,length_bucket,rate_bucket,phase,assigned_council,opposing_council
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,1,1/6/2016,Timekeeper-1,CodeA,TaskA,175,0.3,52.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 1,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,2,1/6/2016,Timekeeper-1,CodeA,TaskA,175,0.1,17.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 2,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,3,1/6/2016,Timekeeper-1,CodeA,TaskA,175,0.1,17.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 3,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,6,1/6/2016,Timekeeper-1,CodeA,TaskA,175,0.1,17.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 4,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L120,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,4,1/6/2016,Timekeeper-1,CodeA,TaskA,175,1,175,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 5,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L210,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,5,1/6/2016,Timekeeper-1,CodeA,TaskA,175,0.3,52.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 6,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L210,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,8,1/7/2016,Timekeeper-1,CodeA,TaskA,175,0.2,35,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 7,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,7,1/7/2016,Timekeeper-1,CodeA,TaskA,175,0.1,17.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 8,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L310,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,9,1/8/2016,Timekeeper-1,CodeA,TaskA,175,0.3,52.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 9,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,10,1/10/2016,Timekeeper-1,CodeA,TaskA,175,0.1,17.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 10,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
